chunk_index,token_density,heading_depth,neighbor_overlap,source_file,page
208,732,0,0.28763440860215056,unknown,-1
209,651,0,0.23055555555555557,unknown,-1
210,591,0,0.35353535353535354,unknown,-1
211,614,0,0.1919191919191919,unknown,-1
212,381,0,0.2509090909090909,unknown,-1
213,476,0,0.24633431085043989,unknown,-1
214,646,0,0.17329545454545456,unknown,-1
215,432,0,0.2686084142394822,unknown,-1
216,601,0,0.3395638629283489,unknown,-1
217,524,0,0.24853801169590642,unknown,-1
218,539,0,0.2681564245810056,unknown,-1
219,665,0,0.2602739726027397,unknown,-1
220,666,0,0.3576158940397351,unknown,-1
221,543,0,0.2229299363057325,unknown,-1
222,453,0,0.3533834586466165,unknown,-1
223,649,0,0.31679389312977096,unknown,-1
224,487,0,0.4156378600823045,unknown,-1
225,433,0,0.37662337662337664,unknown,-1
226,421,0,0.31932773109243695,unknown,-1
227,485,0,0.33444816053511706,unknown,-1
228,702,0,0.2755417956656347,unknown,-1
229,645,0,0.2765957446808511,unknown,-1
230,458,0,0.23333333333333334,unknown,-1
231,621,0,0.34459459459459457,unknown,-1
232,718,0,0.2689075630252101,unknown,-1
233,543,0,0.3103448275862069,unknown,-1
234,498,0,0.17314487632508835,unknown,-1
235,301,0,0.18478260869565216,unknown,-1
236,309,0,0.17032967032967034,unknown,-1
237,286,0,0.30409356725146197,unknown,-1
238,329,0,0.3282051282051282,unknown,-1
239,443,0,0.48520710059171596,unknown,-1
240,507,0,0.2898550724637681,unknown,-1
241,421,0,0.36507936507936506,unknown,-1
242,450,0,0.18466898954703834,unknown,-1
243,442,0,0.3684210526315789,unknown,-1
244,522,0,0.2090032154340836,unknown,-1
245,479,0,0.3219178082191781,unknown,-1
246,486,0,0.22162162162162163,unknown,-1
247,603,0,0.2712765957446808,unknown,-1
248,518,0,0.1580246913580247,unknown,-1
249,721,0,0.22538860103626943,unknown,-1
250,551,0,0.22568093385214008,unknown,-1
251,311,0,0.325,unknown,-1
252,398,0,0.17676767676767677,unknown,-1
253,115,0,0.10526315789473684,unknown,-1
254,236,0,0.7142857142857143,unknown,-1
255,232,0,0.07116104868913857,unknown,-1
256,562,0,0.1778975741239892,unknown,-1
257,587,0,0.2222222222222222,unknown,-1
258,589,0,0.3157894736842105,unknown,-1
259,557,0,0.1509433962264151,unknown,-1
260,562,0,0.20640569395017794,unknown,-1
261,366,0,0.32456140350877194,unknown,-1
262,434,0,0.332,unknown,-1
263,414,0,0.27419354838709675,unknown,-1
264,515,0,0.23372781065088757,unknown,-1
265,493,0,0.24316109422492402,unknown,-1
266,546,0,0.34210526315789475,unknown,-1
267,752,0,0.4027777777777778,unknown,-1
268,726,0,0.2755102040816326,unknown,-1
269,645,0,0.32131147540983607,unknown,-1
270,774,0,0.19832402234636873,unknown,-1
271,600,0,0.2865853658536585,unknown,-1
272,567,0,0.2861736334405145,unknown,-1
273,521,0,0.24148606811145512,unknown,-1
274,508,0,0.2983050847457627,unknown,-1
275,590,0,0.3264094955489614,unknown,-1
276,686,0,0.2955801104972376,unknown,-1
277,620,0,0.1791044776119403,unknown,-1
278,607,0,0.18006430868167203,unknown,-1
279,382,0,0.2911392405063291,unknown,-1
280,488,0,0.21388888888888888,unknown,-1
